sortie,drone,model,battery,start_s,visits,return_s,energy_kwh,return_soc_pct,boxes
T001,U07,C,C01,0.0,S002,2115.082,6.126766,23.415,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04
T002,U08,C,C02,0.0,S001,1495.426,2.621086,67.236,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-WAT-06;S001-WAT-07;S001-WAT-08
T003,U05,B,B01,0.0,S010,1554.571,1.821045,54.474,S010-FOD-01;S010-MED-01;S010-WAT-01
T004,U06,B,B02,0.0,S013,1440.969,1.632661,59.183,S013-MED-01;S013-WAT-01
T005,U01,A,A01,0.0,S001,1312.471,1.268023,71.822,S001-MED-01;S001-MED-02;S001-WAT-01
T006,U02,A,A02,0.0,S011,1223.535,1.15549,74.322,S011-MED-01;S011-WAT-01
T007,U08,C,C03,1495.426,S006→S007,3966.024,4.569801,42.877,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S007-HYG-01;S007-WAT-02
T008,U03,A,A03,0.0,S009→S002,2281.46,3.00442,33.235,S009-MED-01;S002-MED-01;S002-WAT-01
T009,U06,B,B03,1440.969,S007,3062.284,1.773846,55.654,S007-FOD-01;S007-MED-01;S007-WAT-01
T010,U05,B,B04,1554.571,S014,3399.11,2.127681,46.808,S014-FOD-01;S014-MED-01;S014-WAT-01
T011,U07,C,C04,2115.082,S001,3610.508,2.672703,66.591,S001-HYG-01;S001-HYG-02;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05
T012,U07,C,C02,3610.508,S004,5915.692,6.176911,22.789,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03
T013,U06,B,B01,3062.284,S008,5020.325,2.982875,25.428,S008-FOD-01;S008-MED-01;S008-WAT-01
T014,U08,C,C01,4607.747,S003,7043.557,6.14777,23.153,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04
T015,U04,A,A04,0.0,S015→S003,2608.041,3.16972,29.562,S015-FOD-01;S015-MED-01;S003-MED-01
T016,U02,A,A05,1223.535,S012,3354.174,2.969256,34.017,S012-MED-01;S012-WAT-01
T017,U01,A,A06,1312.471,S005,3008.229,2.129519,52.677,S005-MED-01;S005-WAT-01
T018,U05,B,B02,3399.11,S015→S003,5682.242,3.0883,22.792,S015-WAT-01;S003-WAT-01
T019,U03,A,A01,2281.46,S013→S012,4625.307,2.98926,33.572,S013-FOD-01;S012-FOD-01
T020,U06,B,B03,5020.325,S008,6918.366,2.77042,30.739,S008-HYG-01;S008-WAT-02
T021,U04,A,A02,2608.041,S009,4299.575,2.33825,48.039,S009-FOD-01;S009-WAT-01
T022,U07,C,C04,5915.692,S011→S005,8027.342,4.069881,49.126,S011-FOD-01;S005-FOD-01;S005-HYG-01;S005-WAT-02;S005-WAT-03
